Series Name,Series Code,Country Name,Country Code,1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Internet users (per 100 people),IT.NET.USER.P2,Afghanistan,AFG,..,..,..,..,..,..,..,0.00472256824217368,0.00456139517022146,0.0878912528559713,0.105809030021958,1.22414808372471,2.10712364546412,1.9,1.84,3.55,4,5,5.45454545454545,5.9,6.39
Internet users (per 100 people),IT.NET.USER.P2,Albania,ALB,..,0.011168695486794,0.0321968282260578,0.0485939187626304,0.0650273700200414,0.0814370446040466,0.114097346552109,0.325798377067964,0.39008127343332,0.971900415195857,2.42038779776014,6.04389086404814,9.60999131577118,15.0361154084109,23.86,41.2,45,49,54.6559590399494,57.2,60.1
Internet users (per 100 people),IT.NET.USER.P2,Algeria,DZA,0.000360673567987076,0.00176895401501439,0.00173853322594298,0.010268463150268,0.0202385545408469,0.199523842999477,0.491705679141589,0.646114016703792,1.59164126035832,2.19535973086144,4.63447508776537,5.84394209201256,7.37598495634886,9.45119062555304,10.18,11.23,12.5,14,15.2280267564417,16.5,18.09
Internet users (per 100 people),IT.NET.USER.P2,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Internet users (per 100 people),IT.NET.USER.P2,Andorra,ADO,..,..,1.52660102282269,3.05017538508464,6.88620921833874,7.63568614275679,10.53883560922,..,11.2604687170103,13.546412876439,26.8379543894637,37.6057662174867,48.9368469989479,70.87,70.04,78.53,81,81,86.4344246167258,94,95.9
Internet users (per 100 people),IT.NET.USER.P2,Angola,AGO,..,..,0.000775928524568031,0.00567374598866159,0.0184537240759316,0.0719640870420026,0.105045562462262,0.136013867429868,0.270376745595134,0.370682065225727,0.464814617985909,1.1433668265595,1.90764750723428,3.2,4.6,6,10,14.776,16.9372101137398,19.1,21.26
Internet users (per 100 people),IT.NET.USER.P2,Antigua and Barbuda,ATG,..,2.20076880190146,2.85844957694946,3.48053683800189,4.0717164999525,5.30068113752617,6.48222573702907,8.89928551450583,12.5,17.2286487816884,24.2665437161785,27,30,34,38,42,47,52,58,63.4,64
Internet users (per 100 people),IT.NET.USER.P2,Argentina,ARG,0.0437059511392524,0.0862770809737151,0.14195470435477,0.280339881830012,0.830766679676473,3.28448195590463,7.0386830862178,9.78080728532407,10.8821243775325,11.9136965509954,16.0366841054923,17.7205833696065,20.9272021035896,25.9466329403819,28.1126234799907,34,45,51,55.8,59.9,64.7
Internet users (per 100 people),IT.NET.USER.P2,Armenia,ARM,0.00911701414140063,0.0527431233050454,0.0945729024675962,0.111650934518322,0.128659477603923,0.970737757459877,1.30047002237784,1.63109466677715,1.9604050458212,4.57521722477781,4.8990085713054,5.25298335195804,5.63178777731609,6.02125339712607,6.21,15.3,25,32,37.5,41.9,46.3
Internet users (per 100 people),IT.NET.USER.P2,Aruba,ABW,..,..,2.76838266270266,..,..,4.50617909808825,15.4428229480349,17.1,18.8,20.8,23,25.4,28,30.9,52,58,62,69,74,78.9,83.78
Internet users (per 100 people),IT.NET.USER.P2,Australia,AUS,2.23210125436278,2.75965451333217,3.27524987017728,16.3693583751403,30.8132394396276,40.7837839021856,46.7561156116738,52.6892664310395,..,..,..,63,66,69.45,71.67,74.25,76,79.4876977139029,79,83,84.56
Internet users (per 100 people),IT.NET.USER.P2,Austria,AUT,1.3934229675881,1.89021052408733,6.90916235325567,9.53397431748034,15.4212193219603,23.0443171023274,33.7301329516915,39.1854501811114,36.56,42.7,54.28,58,63.6,69.37,72.87,73.45,75.17,78.7399930986888,80.0299939169903,80.6188,81
Internet users (per 100 people),IT.NET.USER.P2,Azerbaijan,AZE,0.00143141529756131,0.0020555557625386,0.00635458454679421,0.0251879334685925,0.0374851090404337,0.0992289415099966,0.147757575623251,0.305564637615618,4.99971367812957,..,..,8.03037535616454,11.9921773343674,14.54,17.08,27.4,46,50,54.2,58.7,61
Internet users (per 100 people),IT.NET.USER.P2,"Bahamas, The",BHS,..,0.960030720983071,1.74695069755741,1.36295390281695,2.33559071038067,3.76455782177031,8,11.8,18,20,22,25,26,27,31.54,33.88,43,65,71.7482028146963,72,76.92
Internet users (per 100 people),IT.NET.USER.P2,Bahrain,BHR,..,0.346205843608434,0.843254219222486,1.64629920170952,3.21820215136814,4.72035811783587,6.15373254647607,15.0386342513918,18.0507208881153,21.5549449917804,21.4586805077435,21.3037335136591,28.2439524318043,32.91,51.95,53,55,76.9999665032303,88,90.0000397,90.99998
Internet users (per 100 people),IT.NET.USER.P2,Bangladesh,BGD,..,..,..,0.00075104582943988,0.00368481262469867,0.0361704074704913,0.0710394230507683,0.129807973947512,0.13992028850905,0.163877665498048,0.199036333744363,0.24163732563671,1,1.8,2.5,3.1,3.7,4.5,5,6.63,9.6
Internet users (per 100 people),IT.NET.USER.P2,Barbados,BRB,..,0.00775223845885499,0.389464214080689,0.783428911660556,1.97024923652842,2.37624703464172,3.97367835457927,11.9364503383984,27.836322424146,39.6896271159532,49.8,52.5,55.3,58.2,61.4,64.7,65.1,67,70,73,76.67
